No,Input,Output,Ven
290,2942.1551308338517,1849.6350439233438,NO
291,1830.020673971635,1499.5352341268795,NO
292,2606.596423219789,2382.7491855392987,NO
293,2561.497684282812,2291.2425014209043,NO
294,2242.783419319503,2531.679251688486,NO
295,1780.6029809472332,2418.8958728674315,NO
296,2250.698213014575,2287.9273730827963,NO
298,2470.516570624988,2041.8952537819837,NO
300,1984.466970188898,1825.3520577094687,NO
301,1443.9015602221439,1868.1187808441,NO
302,1827.816859323148,3000.908265019304,NO
304,1564.713539611972,2771.2633922232862,NO
305,2250.1794273519754,1899.8530417532215,NO
306,2662.701286662307,2316.9535100544595,NO
307,2728.682277449858,2125.8957836966047,NO
308,2508.4215835102027,1462.5991327658435,NO
309,2620.355091283513,2571.9877678560383,NO
311,2218.632097330007,2520.275906421514,NO
312,2601.9440887789524,1989.3551623435706,NO
313,1434.7340690665455,2375.455712079979,NO
314,1921.6846111655339,2031.5532727986879,NO
315,2355.19561723671,2034.069992308731,NO
316,2264.6683457099202,2286.377607137482,NO
317,2512.095728930365,2143.4520512121144,NO
318,2010.9930587943202,2625.3565586550553,NO
319,2230.078381433422,2185.508288582668,NO
320,2835.36646566471,2121.1450896120955,NO
321,1551.0023237888188,1940.9945649013412,NO
322,3073.964398257286,2412.5232717395043,NO
323,2362.6622039264034,1773.99310852609,NO
324,2148.62802070736,2051.9549367936347,NO
325,1238.3584621701507,2617.6176411572287,NO
326,1971.4432288813414,2526.4629181354417,NO
327,2415.642122779846,2024.7088341100143,NO
329,2361.5678343906266,2355.2884075409897,NO
330,2322.630421366969,2181.2993478786334,NO
332,2317.0879701862855,2409.2528806004007,NO
333,2119.162705173213,2517.7772057475454,NO
335,2103.716756360237,2268.5021531856305,NO
336,2421.0938516576157,2456.581243039031,NO
337,2542.1143098490206,2223.8310436114707,NO
338,2254.541484066418,1577.091242462077,NO
339,2142.1916993117775,3073.964398257286,NO
341,2720.6223866747255,2420.8919597457475,NO
342,2164.0183612452556,2464.0920829140614,NO
343,1768.73214053779,1724.0679930604229,NO
344,1864.0363064634203,2367.97470802675,NO
345,2387.1090232878373,2463.568842378956,NO
346,1667.0021125556295,1668.7773770653607,NO
347,1476.9012413357723,2862.4425791580497,NO
348,1631.6523343306885,1975.7492986844359,NO
350,1717.320002031435,1843.5943472729243,NO
351,2069.4846177946793,1723.8166721976788,NO
352,1887.204858626474,2677.952393521737,NO
353,1851.0630604119726,2787.569708909754,NO
355,3011.2922765661306,1948.9197920854654,NO
356,1877.4997653940918,2299.497095981679,NO
357,1760.0823812785202,2666.2079005567316,NO
358,2733.8174449878484,2347.329362661568,NO
359,2512.1769874370343,2974.5903609824413,NO
360,1898.0708723715359,2029.8020188288647,NO
361,1996.991600648047,2428.7162379646597,NO
362,1935.858587551893,1940.6902114071777,NO
363,2489.1935728303865,2539.3465369913124,NO
364,1619.8871067163682,1936.3794064237993,NO
365,1633.104805648125,2766.6937911809546,NO
366,2815.5622938626107,2256.5889628122977,NO
367,2093.5513344666515,1791.084166930144,NO
368,2197.3258680529643,2176.3896830385156,NO
370,2526.843368788237,1738.460676947893,NO
372,2183.79366085917,2435.953210769637,NO
373,2337.4976981474397,2244.7362094526056,NO
375,2232.261305645721,2545.4325861170933,NO
376,2179.842374349941,2258.233627616207,NO
377,1761.5894763828937,2105.2255908105585,NO
378,2111.24284955723,1565.071470233981,NO
379,2154.321022798001,2511.2622880123763,NO
380,2552.4617803982155,2462.67899524453,NO
382,2095.265326921507,2121.805430182831,NO
383,1842.136077554155,2222.9984797093416,NO
384,1911.1197083127736,2128.9313395808363,NO
385,2501.2073987033536,1830.5851719476568,NO
386,2113.674786460218,1388.1575874298662,NO
387,2467.6529931067735,1564.3949689691012,NO
388,2464.888729043976,2201.385035612843,NO
390,2366.6727960435483,1353.9169236500725,NO
391,1731.4451760026757,1982.7257510110194,NO
392,2525.518377838861,2305.8496543528677,NO
393,1993.1445346486803,2613.8968649953886,NO
394,2839.654729942489,2080.2335097591886,NO
395,2336.9717683877066,2391.9982681729052,NO
396,2665.9862421689677,2311.852961531897,NO
397,2512.3885440298886,2960.187695054353,NO
398,2385.8084566204934,1919.7159413367826,NO
399,1934.435813960627,1836.6885127321161,NO
400,2925.011720265676,2200.7225640950405,NO
401,2392.9456869221694,2868.917438332284,NO
402,2527.6207362453083,2262.4847132931,NO
403,2643.6771168924006,1757.8043030305475,NO
404,1961.9611427922675,1585.5721968384328,NO
405,2204.8988606687667,2336.8116457200144,NO
407,1801.1368292034422,1964.7301835602493,NO
408,1928.0041874370427,2425.492054668754,NO
409,2155.0116906653093,2029.9909383528877,NO
410,1812.178803729376,2573.5878898130013,NO
411,2990.0481443275685,2816.8703432648517,NO
413,2226.1688256070106,1583.0696808477583,NO
414,1977.6332206371922,2105.334520975497,NO
415,2201.732368871451,1642.0039890353892,NO
416,3446.0139282080277,1784.527230322784,NO
417,2468.746629809609,1400.4020964524457,NO
418,2382.330562822327,1771.5580709255141,NO
419,1799.2186924242674,2140.547219339623,NO
420,1576.6823473380682,1607.8478478464408,NO
